id,nombre,id_deporte,precio_hora,techada,activa
1,Cancha Central,1,1000000,True,True
2,Cancha Auxiliar,1,800000,False,True
3,Pista Rapida,2,1200000,False,True
4,Cancha Nueva Thunder,1,1500000,False,True
5,Cancha Nueva Thunder,1,1500000,False,True
6,Cancha Nueva Thunder,1,1500000,False,True
7,Cancha Nueva Thunder,1,1500000,False,True
8,Cancha Nueva Thunder,1,1500000,False,True
9,Cancha Nueva Thunder,1,1500000,False,True
10,Cancha Nueva Thunder,1,1500000,False,True
11,Cancha Nueva Thunder,1,1500000,False,True
12,Cancha Nueva Thunder,1,1500000,False,True
13,Cancha Nueva Thunder,1,1500000,False,True
14,Cancha Nueva Thunder,1,1500000,False,True
15,Cancha Nueva tenis,2,2000000,False,True
16,Cancha Nueva tenis,2,2000000,False,True
17,Cancha Nueva Techada,1,1500000,True,True
18,La Bombonerita Modular,1,35000,False,True
19,La Bombonerita Modular techada,1,35000,True,True
20,el cock pelota con techo,1,35000,True,True
